               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085184,            0.029713,            0.073708,          3.3385e-05,          0.00052521,          1.6899e-05,          5.0697e-06,             0.07056,            0.021542,            0.069575,            0.070103,           0.0033219,           0.0033219
                   1,            0.067638,            0.029723,            0.070571,          0.00043824,             0.10242,          0.00041178,            8.85e-05,            0.097478,            0.016382,            0.068352,            0.040037,           0.0065893,           0.0065893
                   2,            0.048656,             0.02116,            0.069656,             0.29392,              0.3813,             0.06162,            0.038212,            0.032491,            0.012642,            0.067393,           0.0099053,           0.0097908,           0.0097908
                   3,            0.034917,            0.014571,            0.069322,             0.29206,             0.33225,            0.037737,            0.027657,            0.050505,            0.015319,            0.067566,            0.009703,            0.009703,            0.009703
                   4,            0.027701,            0.011461,            0.069116,             0.29209,             0.54202,            0.082242,            0.067099,            0.018721,           0.0082366,            0.066701,            0.009703,            0.009703,            0.009703
                   5,            0.023704,           0.0098678,            0.068479,             0.22858,             0.66912,              0.1111,            0.094549,            0.013765,           0.0060272,            0.065529,            0.009604,            0.009604,            0.009604
                   6,            0.021376,           0.0089875,            0.067649,             0.29254,             0.34527,              0.1308,             0.11259,            0.013061,           0.0065379,            0.064126,            0.009505,            0.009505,            0.009505
                   7,             0.01997,           0.0083535,            0.066038,             0.27259,              0.3964,             0.16163,             0.13931,            0.012983,           0.0051033,            0.062212,            0.009406,            0.009406,            0.009406
                   8,             0.01919,           0.0079358,             0.06441,             0.30201,              0.4349,             0.18174,             0.16013,             0.01142,           0.0057592,            0.060057,            0.009307,            0.009307,            0.009307
                   9,            0.018064,           0.0075943,            0.062088,             0.31046,             0.51973,             0.23356,             0.20828,            0.010339,            0.005007,             0.05603,            0.009208,            0.009208,            0.009208
                  10,             0.01731,           0.0074331,            0.059914,             0.30666,             0.60869,             0.27635,             0.24949,           0.0090772,           0.0043484,            0.054211,            0.009109,            0.009109,            0.009109
                  11,            0.016953,           0.0071677,            0.058198,             0.30203,             0.58891,              0.3332,             0.30192,            0.008539,           0.0039225,            0.051199,             0.00901,             0.00901,             0.00901
                  12,            0.016762,           0.0070005,            0.056127,             0.35128,             0.50274,             0.37241,             0.33512,           0.0090873,           0.0038502,            0.048969,            0.008911,            0.008911,            0.008911
                  13,            0.016697,            0.006975,            0.054131,             0.34932,             0.49341,               0.413,             0.37293,           0.0098693,           0.0042608,            0.047257,            0.008812,            0.008812,            0.008812
                  14,            0.016719,           0.0069558,            0.051263,              0.4239,             0.54511,             0.44827,             0.39806,            0.010687,           0.0045167,            0.046144,            0.008713,            0.008713,            0.008713
                  15,            0.016527,           0.0068208,            0.048693,              0.4562,             0.63805,             0.53312,             0.48572,           0.0086947,           0.0037115,            0.040483,            0.008614,            0.008614,            0.008614
                  16,            0.016439,           0.0068702,             0.04592,             0.50416,             0.67915,             0.60729,             0.54792,           0.0085246,           0.0036311,            0.035344,            0.008515,            0.008515,            0.008515
                  17,            0.016306,           0.0067614,             0.04393,             0.51684,             0.69452,             0.64148,             0.58782,           0.0083333,           0.0035967,            0.032009,            0.008416,            0.008416,            0.008416
                  18,            0.016376,           0.0067827,            0.041624,             0.56082,             0.72042,             0.71316,             0.65207,           0.0084255,           0.0037013,            0.029858,            0.008317,            0.008317,            0.008317
                  19,            0.016383,           0.0067421,            0.039661,             0.64202,             0.75779,             0.75124,             0.68536,           0.0083525,           0.0036476,            0.028485,            0.008218,            0.008218,            0.008218
                  20,            0.016412,           0.0066915,            0.037141,             0.70273,             0.73031,             0.78256,             0.72222,           0.0085144,           0.0036311,            0.024177,            0.008119,            0.008119,            0.008119
                  21,            0.016518,           0.0067007,            0.035139,             0.75204,             0.79256,             0.83746,             0.77445,           0.0080759,           0.0035201,            0.021972,             0.00802,             0.00802,             0.00802
                  22,            0.016499,           0.0066955,             0.03266,             0.79146,             0.80477,             0.85298,             0.78549,           0.0083583,           0.0035267,            0.020066,            0.007921,            0.007921,            0.007921
                  23,            0.016217,           0.0065408,            0.031553,             0.77304,             0.86171,             0.87573,             0.81065,           0.0082546,            0.003461,            0.017692,            0.007822,            0.007822,            0.007822
                  24,            0.015861,           0.0065373,            0.029905,             0.80125,             0.88865,              0.8901,             0.82904,           0.0081213,           0.0033609,            0.015833,            0.007723,            0.007723,            0.007723
                  25,            0.015856,           0.0064035,            0.028825,             0.82928,             0.88676,             0.89845,             0.84076,           0.0076189,           0.0033032,            0.014576,            0.007624,            0.007624,            0.007624
                  26,            0.015564,           0.0064258,            0.027952,              0.8472,             0.90387,             0.90734,             0.85617,           0.0074981,           0.0032355,            0.014431,            0.007525,            0.007525,            0.007525
                  27,            0.015508,           0.0062792,            0.027082,             0.85835,             0.91722,             0.92318,             0.87197,           0.0072348,           0.0032919,            0.012892,            0.007426,            0.007426,            0.007426
                  28,            0.015262,           0.0062656,            0.026098,             0.85748,             0.91012,             0.92245,             0.87066,           0.0072338,           0.0032737,             0.01245,            0.007327,            0.007327,            0.007327
                  29,            0.014813,           0.0060995,            0.025091,              0.8813,             0.91554,             0.93541,             0.89104,             0.00676,           0.0030751,            0.011445,            0.007228,            0.007228,            0.007228
                  30,            0.014912,            0.006159,            0.024585,             0.88875,             0.91417,             0.94854,              0.8943,           0.0070228,            0.003218,            0.011362,            0.007129,            0.007129,            0.007129
                  31,            0.014537,           0.0060409,            0.023943,             0.90507,             0.93448,              0.9618,             0.91874,           0.0066168,           0.0029974,            0.010226,             0.00703,             0.00703,             0.00703
                  32,            0.014438,           0.0060212,            0.023231,             0.94287,              0.9091,             0.96811,             0.92502,           0.0065038,           0.0028907,            0.010077,            0.006931,            0.006931,            0.006931
                  33,            0.014229,            0.005909,            0.022598,             0.93973,             0.92383,             0.97175,             0.92827,           0.0066337,           0.0029672,           0.0094005,            0.006832,            0.006832,            0.006832
                  34,            0.014364,           0.0060045,            0.021772,             0.93476,             0.94759,             0.98007,             0.94391,           0.0064203,           0.0029887,           0.0085256,            0.006733,            0.006733,            0.006733
                  35,            0.014024,           0.0058115,            0.021263,             0.94979,             0.94446,             0.98236,              0.9473,           0.0062772,           0.0029708,           0.0080015,            0.006634,            0.006634,            0.006634
                  36,            0.014068,           0.0059027,            0.020935,             0.94541,             0.96057,             0.98475,             0.95336,           0.0060484,           0.0027705,           0.0073939,            0.006535,            0.006535,            0.006535
                  37,            0.013839,           0.0057593,            0.019926,             0.94221,             0.96148,             0.98332,             0.95086,            0.006123,           0.0028692,           0.0073714,            0.006436,            0.006436,            0.006436
                  38,            0.013732,           0.0057983,            0.020352,             0.97714,             0.95313,             0.98836,             0.95795,           0.0060128,           0.0028076,           0.0064402,            0.006337,            0.006337,            0.006337
                  39,            0.013295,           0.0056355,             0.01965,             0.97152,             0.93498,             0.98428,             0.95783,           0.0058849,           0.0027089,           0.0065308,            0.006238,            0.006238,            0.006238
                  40,            0.013369,            0.005699,            0.019193,             0.95836,             0.96056,             0.98476,             0.95667,           0.0057301,           0.0026887,           0.0060015,            0.006139,            0.006139,            0.006139
                  41,            0.013182,           0.0055932,            0.018734,             0.96456,             0.95255,             0.98459,             0.95967,           0.0056205,            0.002739,            0.006314,             0.00604,             0.00604,             0.00604
                  42,             0.01307,           0.0055318,            0.018763,             0.97484,               0.958,             0.98756,             0.95991,           0.0054682,           0.0026153,           0.0057059,            0.005941,            0.005941,            0.005941
                  43,            0.012805,           0.0055355,            0.018162,             0.97555,             0.96558,             0.99003,             0.96481,           0.0055012,           0.0025875,           0.0058407,            0.005842,            0.005842,            0.005842
                  44,             0.01269,           0.0054122,             0.01772,             0.97501,             0.96558,             0.98946,             0.96763,           0.0052865,           0.0025188,           0.0053791,            0.005743,            0.005743,            0.005743
                  45,            0.012443,           0.0054259,            0.017875,             0.96953,             0.96424,             0.98917,             0.96809,           0.0052505,           0.0025712,            0.005017,            0.005644,            0.005644,            0.005644
                  46,            0.012535,           0.0053381,             0.01744,             0.97756,             0.96381,             0.98869,              0.9694,            0.005169,           0.0024826,           0.0048673,            0.005545,            0.005545,            0.005545
                  47,            0.012278,           0.0053272,            0.017385,              0.9687,             0.97446,             0.99025,             0.97162,           0.0050141,           0.0025006,           0.0045952,            0.005446,            0.005446,            0.005446
                  48,            0.012377,             0.00529,            0.016893,               0.978,             0.96504,             0.98944,              0.9711,           0.0050324,           0.0024814,           0.0048301,            0.005347,            0.005347,            0.005347
                  49,            0.012036,           0.0052713,            0.016682,             0.98057,             0.96233,             0.99031,             0.97244,           0.0048959,           0.0024493,           0.0050593,            0.005248,            0.005248,            0.005248
                  50,            0.011878,           0.0052158,            0.016541,             0.97341,             0.96783,             0.98716,             0.97163,           0.0048337,           0.0024458,           0.0047622,            0.005149,            0.005149,            0.005149
                  51,            0.011755,            0.005218,            0.016374,             0.98689,             0.96876,              0.9896,             0.97456,           0.0047567,           0.0023846,           0.0044627,             0.00505,             0.00505,             0.00505
                  52,            0.011805,            0.005121,            0.016223,             0.99407,             0.96102,             0.99118,             0.97725,           0.0047155,           0.0023253,           0.0041873,            0.004951,            0.004951,            0.004951
                  53,            0.011424,           0.0050506,            0.016134,             0.98122,             0.97522,             0.99181,              0.9792,            0.004587,           0.0022803,           0.0038363,            0.004852,            0.004852,            0.004852
                  54,            0.011425,           0.0050831,            0.015777,              0.9884,               0.968,             0.99293,             0.98043,           0.0045548,           0.0022855,           0.0039333,            0.004753,            0.004753,            0.004753
                  55,            0.011272,           0.0049538,            0.015582,             0.98372,             0.97001,             0.99069,             0.97978,           0.0045213,           0.0022526,           0.0043665,            0.004654,            0.004654,            0.004654
                  56,            0.011293,           0.0050121,            0.015383,             0.97555,             0.97261,             0.99133,             0.97991,           0.0044465,           0.0022474,           0.0043849,            0.004555,            0.004555,            0.004555
                  57,            0.010964,           0.0050174,            0.014984,               0.983,             0.97828,             0.99212,             0.98118,           0.0044468,           0.0022168,           0.0038149,            0.004456,            0.004456,            0.004456
                  58,            0.010904,            0.004908,            0.014935,             0.97469,             0.97814,             0.99175,             0.98074,           0.0043245,           0.0022024,           0.0037873,            0.004357,            0.004357,            0.004357
                  59,            0.010884,            0.004923,            0.015433,             0.98482,             0.98066,              0.9921,             0.98224,           0.0043362,           0.0021897,           0.0037382,            0.004258,            0.004258,            0.004258
                  60,            0.010709,           0.0048829,            0.014856,             0.98242,             0.97607,             0.99147,             0.98291,           0.0042539,           0.0022053,           0.0038329,            0.004159,            0.004159,            0.004159
                  61,            0.010612,           0.0047705,            0.014669,             0.98102,             0.97475,             0.99137,             0.98196,           0.0042673,           0.0021596,           0.0041125,             0.00406,             0.00406,             0.00406
                  62,            0.010451,           0.0047805,            0.014526,             0.98045,             0.97707,             0.99193,             0.98177,           0.0041986,           0.0021224,           0.0037487,            0.003961,            0.003961,            0.003961
                  63,            0.010365,           0.0047841,            0.014548,             0.98647,             0.97918,             0.99196,             0.98091,           0.0041469,           0.0020926,           0.0036439,            0.003862,            0.003862,            0.003862
                  64,            0.010376,           0.0047159,            0.014402,             0.98515,             0.97818,             0.99201,             0.98277,           0.0041265,           0.0020835,           0.0034841,            0.003763,            0.003763,            0.003763
                  65,            0.010078,           0.0046435,            0.014175,              0.9868,              0.9752,             0.99239,             0.98357,           0.0041103,            0.002067,           0.0034059,            0.003664,            0.003664,            0.003664
                  66,            0.010102,           0.0047112,             0.01404,             0.98926,             0.97176,             0.99282,             0.98657,           0.0041193,           0.0020818,           0.0033072,            0.003565,            0.003565,            0.003565
                  67,            0.010069,           0.0046316,            0.013838,             0.98829,             0.97655,             0.99285,             0.98667,           0.0040919,           0.0020383,           0.0033481,            0.003466,            0.003466,            0.003466
                  68,           0.0098091,           0.0045811,            0.013288,             0.98346,              0.9799,              0.9927,              0.9867,            0.004075,           0.0020217,           0.0034409,            0.003367,            0.003367,            0.003367
                  69,            0.009695,           0.0045842,            0.013687,             0.98257,             0.98193,             0.99303,             0.98779,           0.0040341,            0.002002,           0.0033451,            0.003268,            0.003268,            0.003268
                  70,           0.0096201,           0.0044948,            0.013233,             0.98751,             0.97586,             0.99283,             0.98684,           0.0039561,           0.0019843,           0.0033714,            0.003169,            0.003169,            0.003169
                  71,           0.0095387,           0.0045205,            0.013088,             0.98773,             0.97652,             0.99278,             0.98691,             0.00393,           0.0019697,           0.0033144,             0.00307,             0.00307,             0.00307
                  72,           0.0093527,           0.0044632,            0.013012,             0.98831,             0.97893,             0.99307,             0.98875,            0.003929,           0.0019489,           0.0032073,            0.002971,            0.002971,            0.002971
                  73,           0.0091905,           0.0043985,            0.012965,             0.98887,             0.97984,             0.99292,             0.98827,           0.0038796,            0.001925,           0.0029937,            0.002872,            0.002872,            0.002872
                  74,           0.0090854,           0.0044191,            0.012783,             0.98945,             0.97999,              0.9931,             0.98852,           0.0038446,           0.0019218,           0.0029227,            0.002773,            0.002773,            0.002773
                  75,           0.0090728,           0.0043807,              0.0131,             0.98881,             0.98129,              0.9931,             0.98926,           0.0038125,           0.0019087,           0.0028494,            0.002674,            0.002674,            0.002674
                  76,           0.0089597,            0.004329,            0.012441,             0.98877,             0.98441,             0.99303,              0.9897,            0.003785,           0.0019079,           0.0026984,            0.002575,            0.002575,            0.002575
                  77,           0.0089251,           0.0044077,            0.012479,             0.99146,             0.98281,             0.99358,             0.99037,           0.0037672,           0.0019017,           0.0026192,            0.002476,            0.002476,            0.002476
                  78,           0.0087624,           0.0041829,            0.012473,             0.98829,             0.98487,             0.99349,              0.9897,           0.0037577,           0.0018851,           0.0026443,            0.002377,            0.002377,            0.002377
                  79,           0.0085861,           0.0041982,             0.01205,              0.9902,             0.98483,             0.99354,             0.98994,           0.0037323,           0.0018698,           0.0026184,            0.002278,            0.002278,            0.002278
                  80,           0.0084649,           0.0041666,            0.011936,             0.98887,              0.9861,             0.99333,             0.99026,           0.0036893,           0.0018544,           0.0026037,            0.002179,            0.002179,            0.002179
                  81,           0.0083417,           0.0042243,            0.011671,             0.98929,             0.98572,             0.99333,             0.98966,           0.0036795,           0.0018488,           0.0026036,             0.00208,             0.00208,             0.00208
                  82,           0.0082166,            0.004162,            0.011961,             0.98556,             0.98685,             0.99335,             0.98999,           0.0036645,           0.0018328,           0.0025304,            0.001981,            0.001981,            0.001981
                  83,           0.0080928,           0.0040311,            0.011316,             0.98944,              0.9802,             0.99341,             0.98983,           0.0036319,           0.0018335,           0.0024849,            0.001882,            0.001882,            0.001882
                  84,           0.0080302,           0.0040944,            0.011767,             0.99213,             0.97904,             0.99379,             0.99057,           0.0036099,           0.0018233,           0.0024157,            0.001783,            0.001783,            0.001783
                  85,           0.0077783,           0.0039828,            0.011367,             0.98525,             0.98623,             0.99386,             0.99015,           0.0035901,           0.0018132,           0.0024207,            0.001684,            0.001684,            0.001684
                  86,           0.0077124,           0.0039463,            0.011299,             0.98644,             0.98806,             0.99419,             0.99075,           0.0035754,           0.0018041,           0.0024135,            0.001585,            0.001585,            0.001585
                  87,           0.0076428,           0.0038942,            0.011123,             0.98659,             0.99016,             0.99437,             0.99129,           0.0035697,           0.0017896,           0.0023724,            0.001486,            0.001486,            0.001486
                  88,           0.0075166,           0.0039593,            0.011323,             0.99459,              0.9835,             0.99446,             0.99145,           0.0035612,           0.0017757,           0.0023691,            0.001387,            0.001387,            0.001387
                  89,           0.0075444,           0.0039031,            0.011218,             0.99344,             0.98333,             0.99445,             0.99142,           0.0035547,           0.0017667,           0.0023826,            0.001288,            0.001288,            0.001288
                  90,           0.0073404,           0.0038669,            0.011043,              0.9934,             0.98251,             0.99445,             0.99151,           0.0035395,           0.0017579,           0.0023802,            0.001189,            0.001189,            0.001189
                  91,           0.0072458,           0.0038342,            0.010825,              0.9933,             0.98257,             0.99445,             0.99144,           0.0035265,           0.0017487,           0.0023783,             0.00109,             0.00109,             0.00109
                  92,            0.007033,           0.0037368,            0.010618,             0.99274,             0.98501,             0.99445,             0.99138,           0.0035116,           0.0017402,           0.0023963,            0.000991,            0.000991,            0.000991
                  93,           0.0070056,           0.0037463,            0.010383,             0.99262,             0.98487,             0.99446,             0.99149,           0.0035017,           0.0017343,           0.0023859,            0.000892,            0.000892,            0.000892
                  94,           0.0068609,           0.0036925,            0.010346,             0.99234,             0.98515,             0.99452,             0.99184,           0.0034901,           0.0017291,           0.0023581,            0.000793,            0.000793,            0.000793
                  95,           0.0067375,           0.0036274,            0.010399,             0.99219,             0.98511,             0.99456,             0.99197,           0.0034837,           0.0017239,           0.0023478,            0.000694,            0.000694,            0.000694
                  96,           0.0066903,           0.0036321,            0.010316,             0.99256,             0.98737,             0.99461,             0.99195,           0.0034745,           0.0017182,           0.0023131,            0.000595,            0.000595,            0.000595
                  97,           0.0065864,           0.0036109,            0.010151,             0.99263,             0.98783,             0.99461,             0.99192,           0.0034696,           0.0017146,           0.0022998,            0.000496,            0.000496,            0.000496
                  98,           0.0064955,            0.003591,           0.0099217,             0.99197,             0.98802,              0.9947,             0.99199,           0.0034631,            0.001711,           0.0023012,            0.000397,            0.000397,            0.000397
                  99,            0.006366,           0.0035277,           0.0098119,             0.99195,              0.9878,             0.99469,             0.99211,           0.0034583,           0.0017066,           0.0022824,            0.000298,            0.000298,            0.000298
